epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3803,1.15891,2.893,1.47189,0.01456,0.99531,0.48931,0.28727,1.08254,2.98455,1.53241,0.00031438,0.00031438,0.00031438
2,21.8244,1.23185,2.27995,1.55507,0.71448,0.09152,0.35944,0.16171,1.71453,2.94623,2.24183,0.00063244,0.00063244,0.00063244
3,31.285,1.26001,2.18836,1.552,0.27232,0.16431,0.20343,0.10235,1.9142,2.84936,2.3927,0.000939653,0.000939653,0.000939653
4,39.54,1.33285,2.19957,1.5769,0.49666,0.27193,0.28589,0.12294,1.84291,3.32465,2.72162,0.00123602,0.00123602,0.00123602
5,48.9786,1.36297,2.08923,1.57688,0.43573,0.38181,0.24867,0.10804,1.82506,4.06719,2.4976,0.00133469,0.00133469,0.00133469
6,57.257,1.27384,2.00667,1.54308,0.57913,0.29775,0.23937,0.1166,2.00368,3.63985,2.73233,0.00131111,0.00131111,0.00131111
7,66.7593,1.34491,1.96294,1.57588,0.3176,0.44309,0.26064,0.12777,1.84807,3.13638,2.3933,0.00128753,0.00128753,0.00128753
8,76.7665,1.31597,1.92234,1.56239,0.6091,0.18631,0.19165,0.11488,1.9338,4.01776,2.46904,0.00126395,0.00126395,0.00126395
9,84.5178,1.32387,1.89041,1.56664,0.30328,0.36017,0.2697,0.13927,1.99023,2.84927,2.65597,0.00124037,0.00124037,0.00124037
10,94.3049,1.31163,1.80495,1.55641,0.60503,0.21489,0.28631,0.12529,2.31316,2.8726,3.14068,0.00121679,0.00121679,0.00121679
11,103.756,1.3475,1.79202,1.57893,0.80599,0.29572,0.38746,0.18532,2.21545,2.52315,2.77915,0.00119322,0.00119322,0.00119322
12,112.251,1.2696,1.78522,1.55023,0.60255,0.55656,0.63205,0.34759,1.54008,1.86933,1.99656,0.00116964,0.00116964,0.00116964
13,121.624,1.27851,1.70738,1.54472,0.54451,0.50183,0.52795,0.27127,1.67947,1.85528,2.09723,0.00114606,0.00114606,0.00114606
14,131.374,1.29905,1.6825,1.53586,0.45516,0.59659,0.45033,0.23035,1.65765,2.36554,2.10654,0.00112248,0.00112248,0.00112248
15,139.541,1.24482,1.64643,1.51427,0.41497,0.51362,0.4285,0.23156,1.73437,2.39247,2.25345,0.0010989,0.0010989,0.0010989
16,149.042,1.24602,1.57016,1.50959,0.60069,0.40048,0.49948,0.25016,1.59936,2.33898,2.10299,0.00107532,0.00107532,0.00107532
17,157.714,1.20012,1.50074,1.48891,0.3282,0.55851,0.41719,0.2207,1.50601,1.94629,1.90492,0.00105174,0.00105174,0.00105174
18,166.903,1.2087,1.4902,1.46113,0.81029,0.57435,0.72026,0.39214,1.56316,1.6303,2.08988,0.00102817,0.00102817,0.00102817
19,176.359,1.18236,1.38182,1.43453,0.74697,0.6418,0.70522,0.40028,1.59433,1.69831,2.03769,0.00100459,0.00100459,0.00100459
20,184.82,1.17028,1.44259,1.44661,0.63444,0.59347,0.64122,0.33383,1.61621,1.94912,2.08966,0.000981008,0.000981008,0.000981008
21,194.078,1.12734,1.37938,1.4076,0.66954,0.61074,0.65027,0.36793,1.49858,1.72367,1.92288,0.00095743,0.00095743,0.00095743
22,204.216,1.19889,1.42456,1.46429,0.65615,0.3871,0.5078,0.31621,1.52193,1.94794,2.01713,0.000933851,0.000933851,0.000933851
23,211.93,1.13707,1.37378,1.44188,0.74527,0.47724,0.5518,0.33418,2.05733,2.36294,2.42885,0.000910273,0.000910273,0.000910273
24,221.521,1.1808,1.35666,1.45069,0.6461,0.55939,0.57785,0.3113,1.72803,1.81029,2.14408,0.000886694,0.000886694,0.000886694
25,230.126,1.11108,1.28501,1.38817,0.71635,0.56653,0.65854,0.40079,1.4249,1.69306,1.84442,0.000863116,0.000863116,0.000863116
26,238.827,1.135,1.30195,1.38461,0.67588,0.53464,0.59779,0.37409,1.51375,1.68353,1.95199,0.000839537,0.000839537,0.000839537
