epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1103,0.6147,17.7247,0.66019,0.04643,0.19298,0.08531,0.05157,0.35522,2.01426,0.44227,0.00031438,0.00031438,0.00031438
2,73.4095,0.37836,1.35359,0.37903,0.83896,0.2723,0.22456,0.13506,0.41587,1.43947,0.64896,0.00063244,0.00063244,0.00063244
3,136.913,0.4193,0.90088,0.45746,0.56196,0.20262,0.10422,0.06413,0.42075,1.81817,0.61521,0.000939653,0.000939653,0.000939653
4,187.608,0.45945,0.90621,0.4876,0.528,0.27122,0.24749,0.15555,0.49091,1.45488,0.66467,0.00123602,0.00123602,0.00123602
5,243.638,0.42064,0.9228,0.41292,0.16366,0.05756,0.03276,0.01376,0.81899,1.17227,1.3069,0.00133469,0.00133469,0.00133469
6,276.462,0.40403,0.9568,0.41471,0.60602,0.21689,0.26364,0.1589,nan,nan,nan,0.00131111,0.00131111,0.00131111
7,324.654,0.41602,0.89997,0.42488,0.42984,0.36304,0.29357,0.19215,0.36072,1.31028,0.53348,0.00128753,0.00128753,0.00128753
8,384.156,0.43184,0.82767,0.42677,0.32915,0.36493,0.28031,0.16448,0.49871,1.45954,0.69428,0.00126395,0.00126395,0.00126395
9,424.468,0.40442,0.87838,0.41275,0.38121,0.23765,0.19302,0.12042,nan,nan,nan,0.00124037,0.00124037,0.00124037
10,460.985,0.39738,0.88484,0.4286,0.43634,0.55338,0.44541,0.27619,0.38771,1.23814,0.60033,0.00121679,0.00121679,0.00121679
11,518.077,0.39007,0.88549,0.38214,0.41929,0.44667,0.30243,0.15932,0.52478,1.38844,0.9022,0.00119322,0.00119322,0.00119322
12,555.475,0.3784,0.86723,0.38805,0.5696,0.49275,0.4192,0.24484,0.4358,1.22411,0.73195,0.00116964,0.00116964,0.00116964
13,597.029,0.39832,0.82265,0.41255,0.71137,0.51756,0.5514,0.34815,0.41483,1.05226,0.6355,0.00114606,0.00114606,0.00114606
14,655.281,0.38035,0.88344,0.38596,0.46857,0.28819,0.282,0.16492,nan,nan,nan,0.00112248,0.00112248,0.00112248
15,690.641,0.39487,0.86431,0.40317,0.38526,0.36083,0.3432,0.20766,nan,nan,nan,0.0010989,0.0010989,0.0010989
16,721.675,0.37077,0.79218,0.38864,0.39681,0.27492,0.25547,0.14658,nan,nan,nan,0.00107532,0.00107532,0.00107532
17,752.178,0.36708,0.85379,0.38033,0.59892,0.44254,0.47979,0.29708,nan,nan,nan,0.00105174,0.00105174,0.00105174
18,791.332,0.3781,0.77647,0.3888,0.57775,0.39854,0.39592,0.24139,nan,nan,nan,0.00102817,0.00102817,0.00102817
19,822.406,0.36218,0.81066,0.35714,0.57911,0.46305,0.41224,0.28952,0.37139,1.31958,0.53275,0.00100459,0.00100459,0.00100459
20,865.01,0.35147,0.91982,0.35161,0.77255,0.37913,0.39541,0.23792,0.53642,1.17476,0.8488,0.000981008,0.000981008,0.000981008
21,902.189,0.34278,0.80204,0.35172,0.69479,0.31182,0.41835,0.26737,0.36468,1.16532,0.54247,0.00095743,0.00095743,0.00095743
22,932.276,0.37444,0.78096,0.38732,0.8087,0.39678,0.52985,0.36427,0.35091,1.11509,0.53422,0.000933851,0.000933851,0.000933851
23,976.242,0.35128,0.77683,0.36669,0.63309,0.52258,0.56454,0.35764,nan,nan,nan,0.000910273,0.000910273,0.000910273
24,1016.54,0.36086,0.78978,0.34103,0.60758,0.55713,0.55915,0.36386,nan,nan,nan,0.000886694,0.000886694,0.000886694
25,1055.81,0.36027,0.72004,0.3695,0.51079,0.64315,0.52315,0.32532,0.38623,1.07752,0.62194,0.000863116,0.000863116,0.000863116
26,1093.76,0.35383,0.72732,0.36585,0.44349,0.43444,0.41957,0.28174,0.41903,0.97941,0.68627,0.000839537,0.000839537,0.000839537
27,1129.23,0.33486,0.7415,0.35536,0.52552,0.64489,0.56435,0.37748,0.39496,0.88535,0.69048,0.000815959,0.000815959,0.000815959
28,1179.22,0.32455,0.72003,0.34341,0.7721,0.67469,0.72742,0.49515,0.33879,0.84393,0.52182,0.00079238,0.00079238,0.00079238
29,1220.75,0.3168,0.72894,0.32004,0.73378,0.68402,0.69432,0.47946,0.31644,1.0111,0.4847,0.000768802,0.000768802,0.000768802
30,1277.96,0.31086,0.70825,0.3316,0.65138,0.54354,0.56693,0.38874,0.35424,0.99395,0.55337,0.000745223,0.000745223,0.000745223
31,1314.1,0.31102,0.63357,0.32301,0.62051,0.69651,0.63064,0.41448,0.38944,0.88658,0.62644,0.000721645,0.000721645,0.000721645
32,1345.01,0.32947,0.67341,0.33402,0.67836,0.57842,0.61698,0.42189,0.3006,1.00537,0.45708,0.000698066,0.000698066,0.000698066
33,1377.49,0.31741,0.6483,0.33001,0.69139,0.62376,0.65743,0.4647,0.29616,0.84841,0.45527,0.000674488,0.000674488,0.000674488
