epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8556,2.06813,9.60377,2.89054,0.00379,0.96491,0.28293,0.18741,1.84501,8.62673,2.98017,0.00031438,0.00031438,0.00031438
2,23.2481,2.39801,8.57504,3.17066,0.00353,0.96796,0.18798,0.0834,2.76642,8.82399,4.42774,0.00063244,0.00063244,0.00063244
3,34.2606,2.58635,8.22989,3.25157,0.00279,0.73572,0.05863,0.01726,4.18621,9.93256,6.54146,0.000939653,0.000939653,0.000939653
4,45.7998,2.76966,7.83676,3.29173,0.00249,0.64818,0.07099,0.01864,4.18868,9.94984,6.65425,0.00123602,0.00123602,0.00123602
5,57.1429,2.78909,7.32601,3.28621,0.26108,0.13532,0.11851,0.05006,3.50381,9.82506,5.12819,0.00133469,0.00133469,0.00133469
6,66.9136,2.68567,6.78181,3.20533,0.0772,0.10739,0.08099,0.03598,3.38302,8.38565,4.75346,0.00131111,0.00131111,0.00131111
7,77.5573,2.73724,6.39522,3.26824,0.44779,0.09254,0.07303,0.02846,3.5444,8.03584,4.53016,0.00128753,0.00128753,0.00128753
8,87.9843,2.78336,6.15263,3.28099,0.4156,0.15534,0.08626,0.03599,3.08453,7.83666,4.16109,0.00126395,0.00126395,0.00126395
9,96.8334,2.65578,5.73697,3.16545,0.21936,0.21719,0.1876,0.09157,3.63495,6.62211,4.70239,0.00124037,0.00124037,0.00124037
10,107.532,2.71114,5.47977,3.20724,0.42957,0.18104,0.18687,0.08409,3.78803,7.47251,5.0812,0.00121679,0.00121679,0.00121679
11,118.304,2.77024,5.36665,3.22573,0.18577,0.1443,0.08253,0.03633,3.51523,6.73664,4.35592,0.00119322,0.00119322,0.00119322
12,127.318,2.68466,5.15661,3.15128,0.49522,0.27675,0.24311,0.11758,3.49833,5.45227,4.53988,0.00116964,0.00116964,0.00116964
13,138.055,2.68148,4.80883,3.19904,0.6618,0.30873,0.3285,0.19391,2.97231,4.84317,4.15555,0.00114606,0.00114606,0.00114606
14,148.411,2.60837,4.60082,3.14998,0.50002,0.43544,0.46229,0.25367,3.08227,4.24734,4.09696,0.00112248,0.00112248,0.00112248
15,158.884,2.65342,4.5254,3.15698,0.65744,0.26958,0.33769,0.18705,3.546,6.10633,4.98029,0.0010989,0.0010989,0.0010989
16,167.976,2.59836,4.28066,3.07271,0.38614,0.41083,0.31134,0.16833,2.99497,4.91193,4.08654,0.00107532,0.00107532,0.00107532
17,178.535,2.58628,4.13755,3.09849,0.26561,0.47385,0.29168,0.14395,3.26151,4.87862,4.105,0.00105174,0.00105174,0.00105174
18,189.524,2.52733,4.06891,3.04024,0.4218,0.41319,0.43882,0.23923,2.91613,3.93264,4.02677,0.00102817,0.00102817,0.00102817
19,199.543,2.52682,3.83142,2.98501,0.49529,0.60879,0.56725,0.30278,2.82732,3.47652,3.70619,0.00100459,0.00100459,0.00100459
20,209.612,2.46091,3.87616,2.99377,0.40239,0.44389,0.34601,0.17601,3.4414,5.00809,4.43964,0.000981008,0.000981008,0.000981008
21,219.944,2.40439,3.68988,2.90594,0.63678,0.42832,0.54186,0.27318,3.0955,3.75609,3.8432,0.00095743,0.00095743,0.00095743
22,231.217,2.49465,3.80362,3.01155,0.61391,0.48559,0.57162,0.33234,2.88839,3.62486,3.64664,0.000933851,0.000933851,0.000933851
23,240.211,2.36449,3.52028,2.90364,0.50926,0.45656,0.42233,0.24058,3.1291,4.50909,4.11031,0.000910273,0.000910273,0.000910273
24,250.678,2.44073,3.50839,2.92608,0.7564,0.38406,0.50297,0.28378,3.16361,4.48759,4.41201,0.000886694,0.000886694,0.000886694
25,261.597,2.29899,3.26644,2.83391,0.75069,0.35553,0.5796,0.3141,2.84177,4.35839,3.75366,0.000863116,0.000863116,0.000863116
26,270.793,2.36148,3.32436,2.86474,0.57299,0.51313,0.54331,0.29266,3.09128,3.23531,3.88354,0.000839537,0.000839537,0.000839537
27,281.063,2.31946,3.2564,2.83803,0.66045,0.38734,0.53762,0.31972,3.01001,3.25557,3.81198,0.000815959,0.000815959,0.000815959
28,292.179,2.34867,3.23696,2.91629,0.64,0.51542,0.56305,0.31379,3.1947,3.68013,4.1562,0.00079238,0.00079238,0.00079238
29,302.636,2.26731,3.17144,2.84407,0.56827,0.57393,0.57871,0.36558,2.82675,3.52528,3.60978,0.000768802,0.000768802,0.000768802
30,311.66,2.25038,2.9721,2.83179,0.66459,0.60206,0.68509,0.40895,2.73729,2.90604,3.53965,0.000745223,0.000745223,0.000745223
31,322.286,2.20386,2.92148,2.74923,0.58166,0.59649,0.64832,0.43235,2.58079,2.65461,3.42443,0.000721645,0.000721645,0.000721645
32,333.629,2.21543,2.97368,2.73709,0.65277,0.54848,0.60291,0.37078,2.69872,3.34274,3.67358,0.000698066,0.000698066,0.000698066
33,343.581,2.15897,2.72809,2.70962,0.60968,0.54919,0.56087,0.34519,2.80927,3.23101,3.7551,0.000674488,0.000674488,0.000674488
34,352.952,2.18928,3.01898,2.78702,0.71594,0.4615,0.56831,0.36905,2.74456,3.20942,3.50859,0.000650909,0.000650909,0.000650909
35,364.192,2.19565,2.89048,2.76234,0.57579,0.57621,0.54064,0.3456,2.70815,3.07203,3.35994,0.000627331,0.000627331,0.000627331
36,374.773,2.2085,2.83882,2.77017,0.49314,0.62964,0.57931,0.3355,3.18198,2.85894,3.73009,0.000603752,0.000603752,0.000603752
37,383.853,2.16763,2.74093,2.71937,0.67299,0.63755,0.68655,0.42513,2.73489,2.75393,3.52208,0.000580174,0.000580174,0.000580174
38,395.043,2.20551,2.71053,2.76946,0.73424,0.62852,0.72318,0.45027,2.64175,2.72162,3.46224,0.000556595,0.000556595,0.000556595
39,405.818,2.09569,2.55363,2.64734,0.6223,0.62528,0.63445,0.41616,2.53331,2.68397,3.24645,0.000533017,0.000533017,0.000533017
40,415.708,2.06072,2.56423,2.66338,0.68767,0.6516,0.68296,0.42429,2.41886,2.88223,3.21818,0.000509438,0.000509438,0.000509438
41,425.774,2.08609,2.53101,2.69004,0.84633,0.50105,0.68173,0.43672,2.62466,3.19495,3.51104,0.00048586,0.00048586,0.00048586
